Time,Roll,RollRate,Pitch,PitchRate,Yaw,YawRate,Aileron,Elevator,Rudder
4.33,-0.0004032860061569749,0.005228832648034913,-0.0014836753718163187,-0.031757654860796763,-0.01998876124002554,0.03447019314375322,-0.22422725185646109,-0.34143724997674463,0.06409271690599327
4.34,-0.0016491020347517,0.007863532673099135,-0.0016370028619149576,-0.027427365535152216,-0.01996068021497734,0.030836529029703963,0.24870375509209516,0.2585627500232553,-0.39891682896038316
4.3500000000000005,-0.0020763426843209906,0.0064133267397874245,-0.0018845305266869214,-0.026859404072030253,-0.017639345575806632,0.026800085135119445,0.03054983858061729,0.15434605448174343,-0.3433334382844046
4.36,-0.002929272942924741,-0.0005983151627369472,-0.001527503958211261,-0.01738753872417996,-0.017838466732161298,0.030257852424729472,-0.555045601688714,0.7543460544817434,0.25620728478484184
4.37,-0.0027474386928631306,-0.003151041336544705,7.205387845511667e-05,-0.01590969067403407,-0.01717555975840933,0.026531368698533987,-0.18660792077850052,0.15434605448174343,-0.3437927152151581
4.38,-0.004515699479557633,-0.0008238445924093321,-0.001137658100654781,-0.011117731615356775,-0.017108328506394405,0.023286703865931332,0.37103463706996337,0.2598291147464754,-0.5718513670492724
4.39,-0.0041943596389109675,-0.004408956082982901,-0.0014969971462662451,-0.011374859046201034,-0.016885180896682662,0.0210667669040911,-0.22896536293003658,-0.11736628098846437,-0.16185348366221214
4.4,-0.004255681279726746,-0.0004165903881039227,0.00026598611128690944,-0.01572058873469225,-0.014923103321612093,0.022663553316902143,0.37103463706996337,-0.2871348861278866,0.051478999527459796
4.41,-0.005604822793992037,-0.0021761422188399967,-0.0008803666182789538,-0.014032267606772569,-0.012914814587553869,0.025497514953975637,-0.22896536293003658,0.14325480610153524,0.28809597842044915
4.42,-0.00548720031037952,0.0003817890858615869,-0.0010829292936299128,-0.01041718274782755,-0.013441654565353933,0.023868166822615274,0.19826036131262764,0.3084547909651183,-0.21642969319243222
4.43,-0.004834877948039653,-0.0015550622603494818,0.0007756332274653926,-0.0054393196842710285,-0.01345079766712706,0.024546913654574253,-0.40173963868737234,0.32808367422715384,0.18207007670416198
4.44,-0.006897042812178552,-0.005920737778796143,0.0015218741698165793,0.0009158418750965997,-0.013711288917067474,0.024507181581929112,-0.42939391368857555,0.42400200280915695,0.09282254377233935
4.45,-0.007047019746831669,-0.002567940467347827,0.0017047345122459987,0.008436709828360027,-0.013690105776331,0.02205595631118954,0.17060608631142443,0.6291765872430252,-0.23527074722784608
4.46,-0.006922319845320931,-0.006658355818034895,0.001455051746516554,0.010650529193077955,-0.011972626410573142,0.025256047761822734,-0.33692148336671357,0.1533471876566838,0.23885587183417248
4.47,-0.006340008122167093,-0.007431054772040918,0.0005344767453357789,0.012500147323953208,-0.013764044332676292,0.02762017393693523,-0.19229853503883326,0.2676543908016972,0.23072841675081118
